word,kept_reading,segmentation_suggested
聚合資訊訂閲,zeoi6 hap6 zi1 seon3 deng6 jyut6,zeoi6 hap6 zi1 seon3 ding6 jyut6
聚魚道,zeoi6 jyu4 dou6,zeoi6 jyu2 dou6
聞到棺材香,man4 dou2 gun1 coi4 hoeng1,man4 dou3 gun1 coi4 hoeng1
聞唔聞到,man4 m4 man4 dou2,man4 m4 man4 dou3
聯合秘書處,lyun4 hap6 bei3 syu1 cyu5,lyun4 hap6 bei3 syu1 cyu3
聯捷街,lyun4 zit3 gaai1,lyun4 zit6 gaai1
聯絡人,lyun4 lok3 jan4,lyun4 lok6 jan4
聯繫電話,lyun4 hai6 din6 waa6,lyun4 hai6 din6 waa2
職安局,zik1 on1 guk2,zik1 on1 guk6
職業安全健康局,zik1 jip6 on1 cyun4 gin6 hong1 guk2,zik1 jip6 on1 cyun4 gin6 hong1 guk6
職業訓練局,zik1 jip6 fan3 lin6 guk2,zik1 jip6 fan3 lin6 guk6
職訓局,zik1 fan3 guk2,zik1 fan3 guk6
聽下,teng1 haa5,ting3 haa6
聽下歌,teng1 haa5 go1,ting3 haa6 go1
聽人,teng1 jan4,ting3 jan4
聽住歌,teng1 zyu6 go1,ting3 zyu6 go1
聽你,teng1 nei5,ting3 nei5
聽佢,teng1 keoi5,ting3 keoi5
聽唔到,teng1 m4 dou3,ting3 m4 dou3
聽唔聽,teng1 m4 teng1,ting3 m4 ting3
聽唔聽到,teng1 m4 teng1 dou2,ting3 m4 ting3 dou3
聽完,teng1 jyun4,ting3 jyun4
聽得,teng1 dak1,ting3 dak1
聽緊歌,teng1 gan2 go1,ting3 gan2 go1
聽落,teng1 lok6,ting3 lok6
聾耳陳養雞,lung4 ji5 can2 joeng5 gai1,lung4 ji5 can4 joeng5 gai1
肆意妄為,si3 ji3 mong5 wai4,si3 ji3 mong5 wai6
胡作非為,wu4 zok3 fei1 wai4,wu4 zok3 fei1 wai6
胡啟立,wu4 kai2 lap6,wu4 kai2 laap6
胡大為,wu4 daai6 wai4,wu4 daai6 wai6
胡少渠紀念小學,wu4 siu3 keoi4 gei2 nim6 siu2 hok6,wu4 siu2 keoi4 gei2 nim6 siu2 hok6
胡謅亂説,wu4 zau1 lyun6 syut3,wu4 zau3 lyun6 syut3
能者為師,nang4 ze2 wai4 si1,nang4 ze2 wai6 si1
脱腸,tyut3 coeng2,tyut3 coeng4
腦囟未生埋,nou5 seon2 mei6 saang1 maai4,nou5 seon2 mei6 sang1 maai4
腦囟都未生埋,nou5 seon2 dou1 mei6 saang1 maai4,nou5 seon2 dou1 mei6 sang1 maai4
腳指尾拉西,goek3 zi2 mei1 laai1 sai1,goek3 zi2 mei5 laai1 sai1
腳步聲,goek3 bou6 seng1,goek3 bou6 sing1
腳趾尾拉西,goek3 zi2 mei1 laai1 sai1,goek3 zi2 mei5 laai1 sai1
腽肭,wat1 neot6,wat1 nat6
腽肭臍,wat1 neot6 ci4,wat1 nat6 ci4
膽大妄為,daam2 daai6 mong5 wai4,daam2 daai6 mong5 wai6
臨時揾腳,lam4 si4 wan2 goek3,lam4 si4 wan3 goek3
自己會,zi6 gei2 wui5,zi6 gei2 wui6
自揾自食,zi6 wan2 zi6 sik6,zi6 wan3 zi6 sik6
自然會,zi6 jin4 wui5,zi6 jin4 wui6
自由行,zi6 jau4 hang4,zi6 jau4 hong6
臭屎密冚,cau3 si2 mat6 kam2,cau3 si2 mat6 ham6
舂坎灣,zung1 ham2 waan1,zung1 ham1 waan1
舂坎角,zung1 ham2 gok3,zung1 ham1 gok3
舂坎角泳灘,zung1 ham2 gok3 wing6 taan1,zung1 ham1 gok3 wing6 taan1
與人為善,jyu5 jan4 wai4 sin6,jyu5 jan4 wai6 sin6
興仁村第一巷,hing1 jan4 cyun1 dai6 jat1 hong2,hing1 jan4 cyun1 dai6 jat1 hong6
興仁村第三巷,hing1 jan4 cyun1 dai6 saam1 hong2,hing1 jan4 cyun1 dai6 saam1 hong6
興仁村第二巷,hing1 jan4 cyun1 dai6 ji6 hong2,hing1 jan4 cyun1 dai6 ji6 hong6
興仁村第五巷,hing1 jan4 cyun1 dai6 ng5 hong2,hing1 jan4 cyun1 dai6 ng5 hong6
興仁村第四巷,hing1 jan4 cyun1 dai6 sei3 hong2,hing1 jan4 cyun1 dai6 sei3 hong6
舊山頂道,gau6 saan1 deng2 dou6,gau6 saan1 ding2 dou6
舖牀,pou1 cong4,pou3 cong4
航空自衞隊,hong4 hung1 zi6 wai6 deoi2,hong4 hung1 zi6 wai6 deoi6
般咸道官立小學,bun1 haam4 dou6 gun1 lap6 siu2 hok6,bun1 haam4 dou6 gun1 laap6 siu2 hok6
船頭驚鬼船尾驚賊,syun4 tau4 geng1 gwai2 syun4 mei5 geng1 caak2,syun4 tau4 ging1 gwai2 syun4 mei5 ging1 caak6
艇户,teng3 wu6,teng5 wu6
艇街,ting5 gaai1,teng5 gaai1
芋頭糕,wu6 tau2 gou1,wu6 tau4 gou1
芝士腸,zi1 si2 coeng2,zi1 si2 coeng4
花瓶頂,faa1 ping4 deng2,faa1 ping4 ding2
花生糖,faa1 sang1 tong2,faa1 sang1 tong4
花被冚雞籠,faa1 pei5 kam2 gai1 lung4,faa1 bei6 ham6 gai1 lung4
花都購物廣場,faa1 dou1 gau3 mat6 gwong2 coeng4,faa1 dou1 kau3 mat6 gwong2 coeng4
若要窮神壇社廟逞英雄,joek6 jiu3 kung4 san4 taan4 se5 miu6 cing2 jing1 hung4,joek6 jiu3 kung4 san4 taan4 se5 miu2 cing2 jing1 hung4
英皇書院,jing1 wong4 syu1 jyun2,jing1 wong2 syu1 jyun2
英皇書院同學會小學,jing1 wong4 syu1 jyun2 tung4 hok6 wui2 siu2 hok6,jing1 wong2 syu1 jyun2 tung4 hok6 wui6 siu2 hok6
英皇珠寶,jing1 wong4 zyu1 bou2,jing1 wong2 zyu1 bou2
英皇道,jing1 wong4 dou6,jing1 wong2 dou6
英皇集團,jing1 wong4 zaap6 tyun4,jing1 wong2 zaap6 tyun4
英華,jing1 waa2,jing1 waa4
英華女校,jing1 waa2 neoi5 haau6,jing1 waa4 neoi5 haau6
茜利妹,sai1 lei6 mui2,sai1 lei6 mui6
茵羅洛斯大道,jan1 lo4 lok3 si1 daai6 dou6,jan1 lo4 lok6 si1 daai6 dou6
茶咖,caa4 gaa3,caa4 kaa1
茶敍會,caa4 zeoi6 wui2,caa4 zeoi6 wui6
茶果嶺,caa4 gwo2 leng5,caa4 gwo2 ling5
茶果嶺大街,caa4 gwo2 leng5 daai6 gaai1,caa4 gwo2 ling5 daai6 gaai1
茶果嶺村,caa4 gwo2 leng5 cyun1,caa4 gwo2 ling5 cyun1
茶果嶺道,caa4 gwo2 leng5 dou6,caa4 gwo2 ling5 dou6
茶湯會,caa4 tong1 wui2,caa4 tong1 wui6
荃錦交匯處,cyun4 gam2 gaau1 wui6 cyu5,cyun4 gam2 gaau1 wui6 cyu3
荃青交匯處,cyun4 cing1 gaau1 wui6 cyu5,cyun4 cing1 gaau1 wui6 cyu3
荔枝嶺路,lai6 zi1 leng5 lou6,lai6 zi1 ling5 lou6
荔枝核,lai6 zi1 wat6,lai6 zi1 hat6
荷尼阿拉,ho4 nei4 aa3 laai1,ho4 nei4 o1 laai1
荷蘭人,ho4 laan4 jan4,ho4 laan1 jan4
莆上村第一巷,pou4 soeng6 cyun1 dai6 jat1 hong2,pou4 soeng6 cyun1 dai6 jat1 hong6
莊殷玥,zong1 jan1 jyut6,zong1 jan2 jyut6
莫壽增會督中學,mok6 sau6 zang1 wui2 duk1 zung1 hok6,mok6 sau6 zang1 wui6 duk1 zung1 hok6
莫少聰,mok6 siu3 cung1,mok6 siu2 cung1
菁田邨,zing1 tin4 cyun1,cing1 tin4 cyun1
菁裕徑,zing1 jyu6 ging3,cing1 jyu6 ging3
華國鋒,waa6 gwok3 fung1,waa4 gwok3 fung1
華建,waa6 gin3,waa4 gin3
華建敏,waa6 gin3 man5,waa4 gin3 man5
華為,waa4 wai4,waa4 wai6
華為出口,waa4 wai4 ceot1 hau2,waa4 wai6 ceot1 hau2
華為技術,waa4 wai4 gei6 seot6,waa4 wai6 gei6 seot6
華為總部,waa4 wai4 zung2 bou6,waa4 wai6 zung2 bou6
華麗購物廣場,waa4 lai6 gau3 mat6 gwong2 coeng4,waa4 lai6 kau3 mat6 gwong2 coeng4
菲利提諾大道,fei2 lei6 tai4 nok6 daai6 dou6,fei1 lei6 tai4 nok6 daai6 dou6
菲律賓人,fei2 leot6 ban1 jan4,fei1 leot6 ban1 jan4
菲林明道,fei2 lam4 ming4 dou6,fei1 lam4 ming4 dou6
萊比錫,loi4 bei2 sek3,loi4 bei2 sik3
萊洞第一巷,loi4 dung6 dai6 jat1 hong2,loi4 dung6 dai6 jat1 hong6
萊洞第三巷,loi4 dung6 dai6 saam1 hong2,loi4 dung6 dai6 saam1 hong6
萊洞第二巷,loi4 dung6 dai6 ji6 hong2,loi4 dung6 dai6 ji6 hong6
萊洞第五巷,loi4 dung6 dai6 ng5 hong2,loi4 dung6 dai6 ng5 hong6
萊洞第六巷,loi4 dung6 dai6 luk6 hong2,loi4 dung6 dai6 luk6 hong6
萊洞第四巷,loi4 dung6 dai6 sei3 hong2,loi4 dung6 dai6 sei3 hong6
落地喊三聲好醜命生成,lok6 dei6 haam3 saam1 seng1 hou2 cau2 meng6 saang1 seng4,lok6 dei6 haam3 saam1 sing1 hou2 cau2 ming6 sang1 sing4
落手打三更,lok6 sau2 daa2 saam1 gaang1,lok6 sau2 daa2 saam1 gang3
落草為寇,lok6 cou2 wai4 kau3,lok6 cou2 wai6 kau3
葉晴晴,jip6 cing4 cing2,jip6 cing4 cing4
葉紹蔭紀念小學,jip6 siu6 jam1 gei2 nim6 siu2 hok6,jip6 siu6 jam3 gei2 nim6 siu2 hok6
葛量洪校友會,got3 loeng4 hung4 haau6 jau5 wui2,got3 loeng6 hung4 haau6 jau5 wui6
葛量洪號滅火輪展覽館,got3 loeng4 hung4 hou6 mit6 fo2 leon4 zin2 laam5 gun2,got3 loeng6 hung4 hou6 mit6 fo2 leon4 zin2 laam5 gun2
葛量洪醫院,got3 loeng4 hung4 ji1 jyun2,got3 loeng6 hung4 ji1 jyun2
葱嶺,cung1 leng5,cung1 ling5
葱度,cung1 dou2,cung1 dou6
葵涌交匯處,kwai4 cung1 gaau1 wui6 cyu5,kwai4 cung1 gaau1 wui6 cyu3
蒙彼利埃,mung4 bei2 lei6 aai1,mung4 bei2 lei6 oi1
蒙特勒大道,mung4 dak6 lak6 daai6 dou6,mung4 dak6 laak6 daai6 dou6
蒲嶺,pou4 leng5,pou4 ling5
蒲嶺坳,pou4 leng5 aau3,pou4 ling5 aau3
蒲魚排,pou4 jyu4 paai4,pou4 jyu2 paai4
蔚為,wai3 wai4,wai3 wai6
蔚為大觀,wai3 wai4 daai6 gun1,wai3 wai6 daai6 gun1
蔚為奇觀,wai3 wai4 kei4 gun1,wai3 wai6 kei4 gun1
蔡少芬,coi3 siu3 fan1,coi3 siu2 fan1
蔡素玉,coi3 sou3 juk2,coi3 sou3 juk6
蔡衍濤小學,coi3 jin2 tou4 siu2 hok6,coi3 hin2 tou4 siu2 hok6
蔡銘彥,coi3 ming4 jin6,coi3 ming5 jin6
蔫豬頭有盲鼻菩薩,jyun1 zyu1 tau4 jau5 mang4 bei6 pou4 saat3,jin1 zyu1 tau4 jau5 maang4 bei6 pou4 saat3
蕃田村,faan4 tin4 cyun1,faan1 tin4 cyun1
蕩氣迴腸,dong6 hei3 wui4 coeng4,dong6 hei3 wui4 coeng2
蕭萬長,siu1 maan6 coeng4,siu1 maan6 zoeng6
薄扶林村,bok3 fu6 lam4 cyun1,bok6 fu4 lam4 cyun1
薄扶林水塘道,bok3 fu6 lam4 seoi2 tong4 dou6,bok6 fu4 lam4 seoi2 tong4 dou6
薄扶林道,bok3 fu6 lam4 dou6,bok6 fu4 lam4 dou6
薑桂之性老而彌辣,goeng1 gwai3 zi1 sing3 lou5 ji4 mei4 laat6,goeng1 gwai3 zi1 sing3 lou5 ji4 nei4 laat6
薩格勒布,saat3 gaak3 lak6 bou3,saat3 gaak3 laak6 bou3
薪諮會聯合秘書處,san1 zi1 wui6 lyun4 hap6 bei3 syu1 cyu5,san1 zi1 wui6 lyun4 hap6 bei3 syu1 cyu3
藍地,laam4 dei2,laam4 dei6
藍地交匯處,laam4 dei6 gaau1 wui6 cyu5,laam4 dei6 gaau1 wui6 cyu3
藍塘海峽,laam4 tong4 hoi2 haap6,laam4 tong4 hoi2 hap6
藍巴勒海峽,laam4 baa1 lak6 hoi2 haap6,laam4 baa1 laak6 hoi2 hap6
藍田交匯處,laam4 tin4 gaau1 wui6 cyu5,laam4 tin4 gaau1 wui6 cyu3
藝發局,ngai6 faat3 guk2,ngai6 faat3 guk6
藤掕瓜瓜掕藤,tang4 lang3 gwaa1 gwaa1 lang3 tang4,tang4 ling4 gwaa1 gwaa1 ling4 tang4
藤條炆豬肉,tang4 tiu2 man1 zyu1 juk6,tang4 tiu4 man1 zyu1 juk6
蘇麗珊,sou1 lai6 saan1,sou1 lai6 san1
蘋果核,ping4 gwo2 wat6,ping4 gwo2 hat6
處處,cyu5 cyu5,cyu3 cyu3
虛無縹渺,heoi1 mou4 piu1 miu5,heoi1 mou4 piu5 miu5
蚊煙香,man4 jin1 hoeng1,man1 jin1 hoeng1
蛋家灣,daan6 gaa1 waan1,daan2 gaa1 waan1
蛋撻王,daan6 taat3 wong4,daan2 taat1 wong4
蛋花,daan6 faa1,daan2 faa1
蛤枴,gaap3 gwaai2,gap3 gwaai2
蝦腸,haa1 coeng2,haa1 coeng4
融合為一,jung4 hap6 wai4 jat1,jung4 hap6 wai6 jat1
融為一體,jung4 wai4 jat1 tai2,jung4 wai6 jat1 tai2
螺地墩,lo2 dei6 deon1,lo4 dei6 deon1
螺洲,lo2 zau1,lo4 zau1
螺洲白排,lo2 zau1 baak6 paai4,lo4 zau1 baak6 paai4
螺洲門,lo2 zau1 mun4,lo4 zau1 mun4
螺灣,lo2 waan1,lo4 waan1
蠄蟝石頂,kam4 keoi4 sek6 deng2,kam4 keoi2 sek6 ding2
蠔涌村一巷,hou4 cung1 cyun1 jat1 hong2,hou4 cung1 cyun1 jat1 hong6
蠔涌村七巷,hou4 cung1 cyun1 cat1 hong2,hou4 cung1 cyun1 cat1 hong6
蠔涌村三巷,hou4 cung1 cyun1 saam1 hong2,hou4 cung1 cyun1 saam1 hong6
蠔涌村九巷,hou4 cung1 cyun1 gau2 hong2,hou4 cung1 cyun1 gau2 hong6
蠔涌村二巷,hou4 cung1 cyun1 ji6 hong2,hou4 cung1 cyun1 ji6 hong6
蠔涌村五巷,hou4 cung1 cyun1 ng5 hong2,hou4 cung1 cyun1 ng5 hong6
蠔涌村八巷,hou4 cung1 cyun1 baat3 hong2,hou4 cung1 cyun1 baat3 hong6
蠔涌村六巷,hou4 cung1 cyun1 luk6 hong2,hou4 cung1 cyun1 luk6 hong6
蠔涌村四巷,hou4 cung1 cyun1 sei3 hong2,hou4 cung1 cyun1 sei3 hong6
行下,haang4 haa5,hong6 haa6
行下山,haang4 haa5 saan1,hong6 haa6 saan1
行下街,haang4 haa5 gaai1,hong6 haa6 gaai1
行先,haang4 sin1,hong6 sin1
行到,haang4 dou3,hong6 dou3
行唔通,haang4 m4 tung1,hong6 m4 tung1
行善里,hang4 sin6 lei5,hong6 sin6 lei5
行將吿罄,hang4 zoeng1 gou3 hing3,hong6 zoeng1 gou3 hing3
行得,haang4 dak1,hong6 dak1
行得快好世界,haang4 dak1 faai3 hou2 sai3 gaai3,hong6 dak1 faai3 hou2 sai3 gaai3
行得正企得正,haang4 dak1 zeng3 kei5 dak1 zeng3,hong6 dak1 zing3 kei5 dak1 zing3
行緊,haang4 gan2,hong6 gan2
行緊街,haang4 gan2 gaai1,hong6 gan2 gaai1
行船爭解纜,haang4 syun4 zaang1 gaai2 laam6,haang4 syun2 zang1 gaai2 laam6
行行出狀元,hong4 hong4 ceot1 zong6 jyun4,hong6 haang4 ceot1 zong6 jyun4
行運一條龍,haang4 wan6 jat1 tiu4 lung4,hong6 wan6 jat1 tiu4 lung4
行過,haang4 gwo3,hong6 gwo3
衍慶街,jin2 hing3 gaai1,hin2 hing3 gaai1
衛立煌,wai6 lap6 wong4,wai6 laap6 wong4
衝完咯,cung1 jyun4 lok3,cung1 jyun4 lok6
衞生局,wai6 saang1 guk6,wai6 sang1 guk6
衞生棉條,wai6 sang1 min4 tiu2,wai6 sang1 min4 tiu4
衞生處,wai6 sang1 cyu2,wai6 sang1 cyu3
衞生處學生健康服務,wai6 sang1 cyu2 hok6 saang1 gin6 hong1 fuk6 mou6,wai6 sang1 cyu3 hok6 saang1 gin6 hong1 fuk6 mou6
衞生麻雀,wai6 sang1 maa4 zoek2,wai6 sang1 maa4 zoek3
被卧,pei5 ngo6,bei6 ngo6
被視為,bei6 si6 wai4,bei6 si6 wai6
被譽為,bei6 jyu6 wai4,bei6 jyu6 wai6
被選為,bei6 syun2 wai4,bei6 syun2 wai6
裊繃繃,niu1 baang1 baang1,niu5 bang1 bang1
裕華國貨,jyu6 waa2 gwok3 fo3,jyu6 waa4 gwok3 fo3
褲袋,fu3 doi2,fu3 doi6
西南二伯父,sai1 naam4 ji6 baak3 fu2,sai1 naam4 ji6 baak3 fu6
西博寮海峽,sai1 bok3 liu4 hoi2 haap6,sai1 bok3 liu4 hoi2 hap6
西橫巷,sai1 waang4 hong2,sai1 waang4 hong6
西檸雞,sai1 ning2 gai1,sai1 ning4 gai1
西菁徑,sai1 zing1 ging3,sai1 cing1 ging3
西菁街,sai1 zing1 gaai1,sai1 cing1 gaai1
西貢中心李少欽紀念學校,sai1 gung3 zung1 sam1 lei5 siu3 jam1 gei2 nim6 hok6 haau6,sai1 gung3 zung1 sam1 lei5 siu2 jam1 gei2 nim6 hok6 haau6
西貢海傍廣場,sai1 gung3 hoi2 bong6 gwong2 coeng4,sai1 gung3 hoi2 pong4 gwong2 coeng4
西貢海傍街,sai1 gung3 hoi2 bong6 gaai1,sai1 gung3 hoi2 pong4 gaai1
西貢鄉事會里,sai1 gung3 hoeng1 si6 wui2 lei5,sai1 gung3 hoeng1 si6 wui6 lei5
西貢醫局街,sai1 gung3 ji1 guk2 gaai1,sai1 gung3 ji1 guk6 gaai1
要不要求,jiu1 bat1 jiu1 kau4,jiu3 bat1 jiu1 kau4
要坐,jiu3 zo6,jiu3 co5
要揾,jiu3 wan2,jiu3 wan3
要知道,jiu3 zi1 dou6,jiu3 zi1 dou3
要返,jiu3 faan1,jiu3 faan2
要錢,jiu3 cin4,jiu3 cin2
見人講人話見鬼講鬼話,gin3 jan4 gong2 jan4 waa2 gin3 gwai2 gong2 gwai2 waa2,gin3 jan4 gong2 jan4 waa6 gin3 gwai2 gong2 gwai2 waa6
見到佢,gin3 dou3 keoi5,gin3 dou2 keoi5
見到有,gin3 dou3 jau5,gin3 dou2 jau5
見唔到,gin3 m4 dou2,gin3 m4 dou3
見唔見,gin3 m4 gin3,gin3 ng5 gin3
見唔見到,gin3 m4 gin3 dou2,gin3 ng5 gin3 dou3
見義勇為,gin3 ji6 jung5 wai4,gin3 ji6 jung5 wai6
視為,si6 wai4,si6 wai6
視為畏途,si6 wai4 wai3 tou4,si6 wai6 wai3 tou4
視為知己,si6 wai4 zi1 gei2,si6 wai6 zi1 gei2
親力親為,can1 lik6 can1 wai4,can1 lik6 can1 wai6
親生仔不如近身錢,can1 saang1 zai2 bat1 jyu4 gan6 san1 cin4,can1 saang1 zai2 bat1 jyu4 gan6 san1 cin2
覺唔覺,gaau3 m4 gaau3,gok3 m4 gok3
觀塘功樂官立中學,gun1 tong4 gung1 lok6 gun1 lap6 zung1 hok6,gun1 tong4 gung1 lok6 gun1 laap6 zung1 hok6
觀棋不語真君子起手無回大丈夫,gun1 kei2 bat1 jyu5 zan1 gwan1 zi2 hei2 sau2 mou4 wui4 daai6 zoeng6 fu1,gun1 kei4 bat1 jyu5 zan1 gwan1 zi2 hei2 sau2 mou4 wui4 daai6 zoeng6 fu1
訂唔訂,deng6 m4 deng6,ding6 m4 ding6
訂户,deng6 wu6,ding6 wu6
訂枱,deng6 toi2,ding6 toi2
訂閲,deng6 jyut6,ding6 jyut6
計下數,gai3 haa5 sou3,gai3 haa6 sou3
記利佐治街,gei3 lei6 zo2 zi6 gaai1,gei3 lei6 zo3 zi6 gaai1
設為,cit3 wai4,cit3 wai6
許長青,heoi2 coeng4 cing1,heoi2 zoeng6 cing1
試下,si3 haa5,si3 haa6
試下唔好揾,si3 haa5 m4 hou2 wan2,si3 haa6 m4 hou2 wan3
試下問,si3 haa5 man6,si3 haa6 man6
試下用,si3 haa5 jung6,si3 haa6 jung6
試着,si3 zoek3,si3 zoek6
試聽,si3 teng1,si3 ting3
試衫房,si3 saam1 fong2,si3 saam1 fong4
話會,waa6 wui5,waa6 wui6
該會,goi1 wui5,goi1 wui6
認為,jing6 wai4,jing6 wai6
認真核突,jing2 zan1 wat6 dat6,jing6 zan1 wat6 dat6
認真濕滯,jing2 zan1 sap1 zai6,jing6 zan1 sap1 zai6
語常會,jyu5 soeng4 wui2,jyu5 soeng4 wui6
語聲,jyu5 seng1,jyu5 sing1
誣吿陷害,mou4 gou3 haam6 hoi6,mou4 gou3 ham6 hoi6
説上幾句,syut3 soeng5 gei2 geoi3,syut3 soeng6 gei2 geoi3
説來話長,syut3 loi4 waa6 coeng4,syut3 loi4 waa6 zoeng6
説着玩,syut3 zoek6 wun6,syut3 zoek6 waan2
説道,syut3 dou3,syut3 dou6
調低,diu6 dai1,tiu4 dai1
調户口,diu6 wu6 hau2,tiu4 wu6 hau2
調查後,diu6 caa4 hau6,tiu4 caa4 hau6
調查核實,diu6 caa4 hat6 sat6,tiu4 caa4 hat6 sat6
調轉,diu6 zyun2,diu6 zyun3
調高,diu6 gou1,tiu4 gou1
諄諄吿誡,zeon1 zeon1 gou3 gaai3,deon1 deon1 gou3 gaai3
請到,ceng2 dou2,cing2 dou3
請吃宵夜,cing2 hek3 siu1 je2,cing2 hek3 siu1 je6
請唔請人,ceng2 m4 ceng2 jan4,cing2 m4 ceng2 jan4
請緊人,ceng2 gan2 jan4,cing2 gan2 jan4
諗下,nam2 haa5,nam2 haa6
諗到,nam2 dou2,nam2 dou3
諗唔到,nam2 m4 dou2,nam2 m4 dou3
諗諗下,nam2 nam2 haa5,nam2 nam2 haa6
諾克少,nok6 hak1 siu3,nok6 hak1 siu2
講下笑,gong2 haa5 siu3,gong2 haa6 siu3
講中,gong2 zung3,gong2 zung1
講笑揾第樣,gong2 siu3 wan2 dai6 joeng2,gong2 siu3 wan3 dai6 joeng6
講返,gong2 faan1,gong2 faan2
講過下,gong2 gwo3 haa5,gong2 gwo3 haa6
謝菲爾德,ze6 fei2 ji5 dak1,ze6 fei1 ji5 dak1
證券及期貨事務上訴審裁處,zing3 hyun3 kap6 kei4 fo3 si6 mou6 soeng6 sou3 sam2 coi4 cyu5,zing3 gyun3 kap6 kei4 fo3 si6 mou6 soeng6 sou3 sam2 coi4 cyu3
證券及期貨事務監察委員會,zing3 hyun3 kap6 kei4 fo3 si6 mou6 gaam1 caat3 wai2 jyun4 wui2,zing3 gyun3 kap6 kei4 fo3 si6 mou6 gaam1 caat3 wai2 jyun4 wui6
識唔識到,sik1 m4 sik1 dou2,sik1 m4 sik1 dou3
識毛毛,sik1 mou4 mou1,sik1 mou4 mou4
譚公廟道,taam4 gung1 miu6 dou6,taam4 gung1 miu2 dou6
警務處,ging2 mou6 cyu5,ging2 mou6 cyu3
警隊博物館,ging2 deoi6 bok3 mat6 gun2,ging2 deoi2 bok3 mat6 gun2
譯為,jik6 wai4,jik6 wai6
譽為,jyu6 wai4,jyu6 wai6
讀到,duk6 dou2,duk6 dou3
變為,bin3 wai4,bin3 wai6
變返,bin3 faan1,bin3 faan2
豆豉鯪魚,dau6 si6 leng4 jyu2,dau6 si6 ling4 jyu2
豬大腸,zyu1 daai6 coeng2,zyu1 daai6 coeng4
豬黃嶺,zyu1 wong4 leng5,zyu1 wong4 ling5
貓嶺,maau1 leng5,maau1 ling5
財庫局,coi4 fu3 guk2,coi4 fu3 guk6
貴為,gwai3 wai4,gwai3 wai6
買到,maai5 dou2,maai5 dou3
買咗樓,maai5 zo2 lau2,maai5 zo2 lau4
買唔到,maai5 m4 dou2,maai5 m4 dou3
買完樓,maai5 jyun4 lau2,maai5 jyun4 lau4
買過樓,maai5 gwo3 lau2,maai5 gwo3 lau4
貼身衞隊,tip3 san1 wai6 deoi2,tip3 san1 wai6 deoi6
資料夾,zi1 liu2 gaap2,zi1 liu6 gaap3
賊佬試沙煲,caak6 lou2 si3 saa1 bou1,caak3 lou2 si3 saa1 bou1
賊佬試砂煲,caak6 lou2 si3 saa1 bou1,caak3 lou2 si3 saa1 bou1
賣魚佬洗身,maai6 jyu4 lou2 sai2 san1,maai6 jyu2 lou2 sai2 san1
賺下錢,zaan6 haa5 cin2,zaan6 haa6 cin2
賺唔賺到,zaan6 m4 zaan6 dou2,zaan6 m4 zaan6 dou3
賺錢買花戴,zaan6 cin2 maai5 faa1 daai3,zaan6 cin4 maai5 faa1 daai3
贏到,jeng4 dou2,jeng4 dou3
贏唔到,jing4 m4 dou2,jeng4 m4 dou3
贏錢,jing4 cin4,jeng4 cin2
赤柱峽道,cek3 cyu5 haap6 dou6,cek3 cyu5 hap6 dou6
赤衞隊,cek3 wai6 deoi2,cek3 wai6 deoi6
赫德道,haak1 dak1 dou6,hak1 dak1 dou6
赫爾辛基,haak1 ji5 san1 gei1,hak1 ji5 san1 gei1
赫蘭道,haak1 laan4 dou6,hak1 laan4 dou6
走上,zau2 soeng5,zau2 soeng6
走晒樣,zau2 saai3 joeng2,zau2 saai3 joeng6
走為上,zau2 wai4 soeng6,zau2 wai6 soeng6
走為上着,zau2 wai4 soeng6 zoek6,zau2 wai6 soeng6 zoek6
走為上策,zau2 wai4 soeng6 caak3,zau2 wai6 soeng6 caak3
走為上計,zau2 wai4 soeng6 gai3,zau2 wai6 soeng6 gai3
起下底,hei2 haa5 dai2,hei2 haa6 dai2
趙希洛,ziu6 hei1 lok3,ziu6 hei1 lok6
趙曾學韞小學,ziu6 zang1 hok6 wan3 siu2 hok6,ziu6 cang4 hok6 wan3 siu2 hok6
跨平台,kwaa3 ping4 toi4,kwaa1 ping4 toi4
路德會,lou6 dak1 wui2,lou6 dak1 wui6
路易港,lou6 jik6 gong2,lou6 ji6 gong2
路易維爾,lou6 jik6 wai4 ji5,lou6 ji6 wai4 ji5
踏破鐵鞋無覓處得來全不費工夫,daap6 po3 tit3 haai4 mou4 mik6 cyu5 dak1 loi4 cyun4 bat1 fai3 gung1 fu1,daap6 po3 tit3 haai4 mou4 mik6 cyu3 dak1 loi4 cyun4 bat1 fai3 gung1 fu1
踴躍,jung2 joek3,jung2 joek6
踴躍報名,jung2 joek3 bou3 meng2,jung2 joek6 bou3 ming4
身為,san1 wai4,san1 wai6
車公廟,ce1 gung1 miu6,ce1 gung1 miu2
車公廟路,ce1 gung1 miu6 lou6,ce1 gung1 miu2 lou6
軟件平台,jyun5 gin2 ping4 toi4,jyun5 gin6 ping4 toi4
軨冚,ling1 kam2,ling4 ham6
較為,gaau3 wai4,gaau3 wai6
輋頂村,ce4 deng2 cyun1,ce4 ding2 cyun1
輕過,heng1 gwo3,hing1 gwo3
輸剩條底褲,syu1 zing6 tiu4 dai2 fu3,syu1 sing6 tiu4 dai2 fu3
輸錢,syu1 cin4,syu1 cin2
輾轉相吿,zin2 zyun2 soeng1 gou3,zin2 zyun3 soeng1 gou3
轉做,zyun2 zou6,zyun3 zou6
轉入,zyun2 jap6,zyun3 jap6
